Nigel Mansell
Alain Prost
Nelson Piquet
Ayrton Senna
Michele Alboreto
Stefan Johansson
Rene Arnoux
Teo Fabi
Johnny Dumfries
Thierry Boutsen
Christian Danner
Jonathan Palmer
Allen Berg
Riccardo Patrese
Patrick Tambay
Alessandro Nannini
Gerhard Berger
Andrea de Cesaris
Keke Rosberg
Derek Warwick
Philippe Alliot
Philippe Streiff
Martin Brundle
Alan Jones
Huub Rothengatter
Piercarlo Ghinzani
Ivan Capelli
