Alain Prost
Nelson Piquet
Stefan Johansson
Martin Brundle
Philippe Streiff
Johnny Dumfries
Rene Arnoux
Philippe Alliot
Jonathan Palmer
Teo Fabi
Patrick Tambay
Nigel Mansell
Riccardo Patrese
Keke Rosberg
Allen Berg
Derek Warwick
Christian Danner
Thierry Boutsen
Ayrton Senna
Gerhard Berger
Andrea de Cesaris
Huub Rothengatter
Alan Jones
Alessandro Nannini
Piercarlo Ghinzani
Michele Alboreto
