Alain Prost
Michele Alboreto
Stefan Johansson
Alan Jones
Patrick Tambay
Christian Danner
Gerhard Berger
Huub Rothengatter
Keke Rosberg
Rene Arnoux
Piercarlo Ghinzani
Nigel Mansell
Nelson Piquet
Thierry Boutsen
Teo Fabi
Philippe Alliot
Alessandro Nannini
Andrea de Cesaris
Ayrton Senna
Martin Brundle
Philippe Streiff
Johnny Dumfries
Jonathan Palmer
Allen Berg
Riccardo Patrese
