Valtteri Bottas
Lewis Hamilton
Sebastian Vettel
Kimi Räikkönen
Max Verstappen
Nico Hulkenberg
Sergio Perez
Esteban Ocon
Fernando Alonso
Felipe Massa
Romain Grosjean
Stoffel Vandoorne
Kevin Magnussen
Pascal Wehrlein
Brendon Hartley
Pierre Gasly
Marcus Ericsson
Lance Stroll
Carlos Sainz
Daniel Ricciardo
