Ayrton Senna
Nigel Mansell
Gerhard Berger
Mika Hakkinen
Martin Brundle
Ivan Capelli
Michele Alboreto
Andrea de Cesaris
Paul Belmondo
Mauricio Gugelmin
Damon Hill
Michael Schumacher
Riccardo Patrese
Pierluigi Martini
Ukyo Katayama
Jean Alesi
Bertrand Gachot
Aguri Suzuki
Olivier Grouillard
Karl Wendlinger
Stefano Modena
Eric van de Poele
