Nigel Mansell
Ayrton Senna
Michael Schumacher
Martin Brundle
Jean Alesi
Erik Comas
Thierry Boutsen
Riccardo Patrese
Michele Alboreto
Jyrki Jarvilehto
Pierluigi Martini
Gianni Morbidelli
Paul Belmondo
Bertrand Gachot
Mauricio Gugelmin
Karl Wendlinger
Gabriele Tarquini
Andrea de Cesaris
Johnny Herbert
Ivan Capelli
Mika Hakkinen
Gerhard Berger
Olivier Grouillard
Ukyo Katayama
Aguri Suzuki
Alessandro Zanardi
