Nigel Mansell
Riccardo Patrese
Michael Schumacher
Gerhard Berger
Andrea de Cesaris
Mika Hakkinen
Johnny Herbert
Jyrki Jarvilehto
Erik Comas
Thierry Boutsen
Bertrand Gachot
Ukyo Katayama
Michele Alboreto
Martin Brundle
Gabriele Tarquini
Andrea Chiesa
Pierluigi Martini
Jean Alesi
Gianni Morbidelli
Stefano Modena
Olivier Grouillard
Ayrton Senna
Christian Fittipaldi
