Nigel Mansell
Nelson Piquet
Teo Fabi
Thierry Boutsen
Ayrton Senna
Alain Prost
Stefan Johansson
Piercarlo Ghinzani
Christian Danner
Rene Arnoux
Ivan Capelli
Philippe Alliot
Satoru Nakajima
Martin Brundle
Jonathan Palmer
Pascal Fabre
Riccardo Patrese
Michele Alboreto
Andrea de Cesaris
Derek Warwick
Eddie Cheever
Gerhard Berger
Adrian Campos
Alessandro Nannini
