Nelson Piquet
Stefan Johansson
Ayrton Senna
Philippe Streiff
Jonathan Palmer
Philippe Alliot
Alain Prost
Martin Brundle
Piercarlo Ghinzani
Adrian Campos
Thierry Boutsen
Nigel Mansell
Alessandro Nannini
Derek Warwick
Christian Danner
Gerhard Berger
Teo Fabi
Alex Caffi
Andrea de Cesaris
Michele Alboreto
Pascal Fabre
Eddie Cheever
Satoru Nakajima
Ivan Capelli
Rene Arnoux
Riccardo Patrese
