Ayrton Senna
Nelson Piquet
Alain Prost
Gerhard Berger
Nigel Mansell
Eddie Cheever
Stefan Johansson
Christian Danner
Riccardo Patrese
Rene Arnoux
Jonathan Palmer
Pascal Fabre
Thierry Boutsen
Piercarlo Ghinzani
Philippe Streiff
Philippe Alliot
Michele Alboreto
Alessandro Nannini
Martin Brundle
Derek Warwick
Ivan Capelli
Teo Fabi
Alex Caffi
Andrea de Cesaris
Adrian Campos
Satoru Nakajima
