Nelson Piquet
Ayrton Senna
Alain Prost
Thierry Boutsen
Riccardo Patrese
Derek Warwick
Jonathan Palmer
Eddie Cheever
Philippe Streiff
Ivan Capelli
Alessandro Nannini
Piercarlo Ghinzani
Pascal Fabre
Nigel Mansell
Alex Caffi
Rene Arnoux
Philippe Alliot
Martin Brundle
Michele Alboreto
Andrea de Cesaris
Stefan Johansson
Teo Fabi
Adrian Campos
Gerhard Berger
Christian Danner
Satoru Nakajima
