Nelson Piquet
Nigel Mansell
Ayrton Senna
Alain Prost
Gerhard Berger
Stefan Johansson
Michele Alboreto
Thierry Boutsen
Teo Fabi
Eddie Cheever
Jonathan Palmer
Satoru Nakajima
Riccardo Patrese
Andrea de Cesaris
Philippe Streiff
Derek Warwick
Philippe Alliot
Martin Brundle
Rene Arnoux
Ivan Capelli
Roberto Moreno
