Nigel Mansell
Alain Prost
Stefan Johansson
Nelson Piquet
Ayrton Senna
Philippe Alliot
Philippe Streiff
Eddie Cheever
Satoru Nakajima
Derek Warwick
Martin Brundle
Ivan Capelli
Riccardo Patrese
Adrian Campos
Michele Alboreto
Thierry Boutsen
Gerhard Berger
Jonathan Palmer
Rene Arnoux
Christian Danner
Alessandro Nannini
Teo Fabi
Andrea de Cesaris
Piercarlo Ghinzani
Pascal Fabre
Nicola Larini
