Gerhard Berger
Ayrton Senna
Stefan Johansson
Michele Alboreto
Thierry Boutsen
Satoru Nakajima
Alain Prost
Jonathan Palmer
Eddie Cheever
Derek Warwick
Riccardo Patrese
Philippe Streiff
Piercarlo Ghinzani
Yannick Dalmas
Nelson Piquet
Rene Arnoux
Alex Caffi
Roberto Moreno
Alessandro Nannini
Martin Brundle
Andrea de Cesaris
Teo Fabi
Christian Danner
Ivan Capelli
Adrian Campos
Philippe Alliot
