Ayrton Senna
Alain Prost
Thierry Boutsen
Alessandro Nannini
Ivan Capelli
Nelson Piquet
Derek Warwick
Eddie Cheever
Martin Brundle
Alex Caffi
Philippe Alliot
Philippe Streiff
Stefan Johansson
Jonathan Palmer
Bernd Schneider
Gabriele Tarquini
Michele Alboreto
Riccardo Patrese
Mauricio Gugelmin
Piercarlo Ghinzani
Satoru Nakajima
Nicola Larini
Gerhard Berger
Yannick Dalmas
Andrea de Cesaris
Rene Arnoux
