Ayrton Senna
Riccardo Patrese
Gerhard Berger
Alain Prost
Nelson Piquet
Jean Alesi
Roberto Moreno
Gianni Morbidelli
Mika Hakkinen
Thierry Boutsen
Emanuele Pirro
Martin Brundle
Bertrand Gachot
Nigel Mansell
Erik Comas
Pierluigi Martini
Mark Blundell
Eric Bernard
Jyrki Jarvilehto
Andrea de Cesaris
Stefano Modena
Ivan Capelli
Satoru Nakajima
Mauricio Gugelmin
