Ayrton Senna
Nigel Mansell
Riccardo Patrese
Gerhard Berger
Alain Prost
Nelson Piquet
Jean Alesi
Stefano Modena
Andrea de Cesaris
Roberto Moreno
Pierluigi Martini
Jyrki Jarvilehto
Bertrand Gachot
Michael Schumacher
Mika Hakkinen
Martin Brundle
Satoru Nakajima
Julian Bailey
Eric Bernard
Ivan Capelli
Aguri Suzuki
Emanuele Pirro
Mark Blundell
Gianni Morbidelli
