Riccardo Patrese
Nigel Mansell
Ayrton Senna
Andrea de Cesaris
Roberto Moreno
Eric Bernard
Gianni Morbidelli
Thierry Boutsen
Mika Hakkinen
Johnny Herbert
Stefano Modena
Satoru Nakajima
Mark Blundell
Bertrand Gachot
Aguri Suzuki
Nelson Piquet
Jean Alesi
Jyrki Jarvilehto
Michele Alboreto
Martin Brundle
Ivan Capelli
Alain Prost
Mauricio Gugelmin
Olivier Grouillard
Gerhard Berger
Pierluigi Martini
