Gerhard Berger
Ayrton Senna
Riccardo Patrese
Alain Prost
Martin Brundle
Stefano Modena
Nelson Piquet
Mauricio Gugelmin
Thierry Boutsen
Alex Caffi
Gabriele Tarquini
Erik Comas
Pierluigi Martini
Michael Schumacher
Johnny Herbert
Satoru Nakajima
Aguri Suzuki
Gianni Morbidelli
Nigel Mansell
Alessandro Zanardi
Mika Hakkinen
Andrea de Cesaris
Jyrki Jarvilehto
Emanuele Pirro
Karl Wendlinger
Jean Alesi
