Nelson Piquet
Stefano Modena
Riccardo Patrese
Andrea de Cesaris
Bertrand Gachot
Nigel Mansell
Pierluigi Martini
Erik Comas
Emanuele Pirro
Satoru Nakajima
Mauricio Gugelmin
Jyrki Jarvilehto
Stefan Johansson
Ivan Capelli
Jean Alesi
Eric Bernard
Alain Prost
Thierry Boutsen
Ayrton Senna
Mika Hakkinen
Martin Brundle
Gianni Morbidelli
Roberto Moreno
Gerhard Berger
Aguri Suzuki
Michele Alboreto
