Nigel Mansell
Alain Prost
Riccardo Patrese
Jean Alesi
Ayrton Senna
Michael Schumacher
Mauricio Gugelmin
Jyrki Jarvilehto
Alessandro Zanardi
Martin Brundle
Nelson Piquet
Gabriele Tarquini
Pierluigi Martini
Gianni Morbidelli
Emanuele Pirro
Stefano Modena
Satoru Nakajima
Mark Blundell
Erik Comas
Gerhard Berger
Michele Alboreto
Andrea de Cesaris
Mika Hakkinen
Ivan Capelli
