Ayrton Senna
Alain Prost
Nelson Piquet
Stefano Modena
Satoru Nakajima
Aguri Suzuki
Nicola Larini
Gabriele Tarquini
Pierluigi Martini
Bertrand Gachot
Martin Brundle
Jean Alesi
Mika Hakkinen
Riccardo Patrese
Roberto Moreno
Michele Alboreto
Ivan Capelli
Thierry Boutsen
Gerhard Berger
Nigel Mansell
Mauricio Gugelmin
Mark Blundell
Emanuele Pirro
Gianni Morbidelli
Jyrki Jarvilehto
Eric Bernard
