Max Verstappen
Kimi Räikkönen
Sebastian Vettel
Romain Grosjean
Kevin Magnussen
Esteban Ocon
Sergio Perez
Fernando Alonso
Charles Leclerc
Marcus Ericsson
Pierre Gasly
Carlos Sainz
Sergey Sirotkin
Lance Stroll
Stoffel Vandoorne
Lewis Hamilton
Brendon Hartley
Daniel Ricciardo
Valtteri Bottas
Nico Hulkenberg
