Damon Hill
Jean Alesi
Michael Andretti
Karl Wendlinger
Riccardo Patrese
Erik Comas
Pierluigi Martini
Christian Fittipaldi
Philippe Alliot
Luca Badoer
Pedro Lamy
Alain Prost
Andrea de Cesaris
Ukyo Katayama
Michele Alboreto
Michael Schumacher
Mark Blundell
Gerhard Berger
Johnny Herbert
Martin Brundle
Ayrton Senna
