Eddie Irvine
Heinz-Harald Frentzen
Ralf Schumacher
Giancarlo Fisichella
Rubens Barrichello
Pedro de la Rosa
Toranosuke Takagi
Michael Schumacher
Ricardo Zonta
Luca Badoer
Alexander Wurz
Pedro Diniz
Marc Gene
Jarno Trulli
Olivier Panis
Mika Hakkinen
Alessandro Zanardi
David Coulthard
Jacques Villeneuve
Damon Hill
Jean Alesi
