Alain Prost
Nigel Mansell
Alessandro Nannini
Thierry Boutsen
Riccardo Patrese
Aguri Suzuki
Nicola Larini
Mauricio Gugelmin
Yannick Dalmas
Michele Alboreto
Derek Warwick
Ivan Capelli
Gerhard Berger
Ayrton Senna
Nelson Piquet
Andrea de Cesaris
Olivier Grouillard
Pierluigi Martini
Philippe Alliot
Eric Bernard
Satoru Nakajima
Gabriele Tarquini
Stefano Modena
