Alain Prost
Nigel Mansell
Gerhard Berger
Alessandro Nannini
Thierry Boutsen
Nelson Piquet
Jean Alesi
Martin Donnelly
Riccardo Patrese
Derek Warwick
Stefano Modena
Pierluigi Martini
Andrea de Cesaris
Paolo Barilla
Gregor Foitek
Nicola Larini
Michele Alboreto
Philippe Alliot
Olivier Grouillard
Ayrton Senna
Jyrki Jarvilehto
Eric Bernard
Aguri Suzuki
Satoru Nakajima
David Brabham
Emanuele Pirro
