Nelson Piquet
Roberto Moreno
Aguri Suzuki
Riccardo Patrese
Thierry Boutsen
Satoru Nakajima
Nicola Larini
Pierluigi Martini
Alex Caffi
Philippe Alliot
Derek Warwick
Johnny Herbert
Michele Alboreto
Nigel Mansell
Emanuele Pirro
Eric Bernard
Gianni Morbidelli
Ivan Capelli
Andrea de Cesaris
Mauricio Gugelmin
David Brabham
Gerhard Berger
