Nelson Piquet
Nigel Mansell
Alain Prost
Gerhard Berger
Thierry Boutsen
Riccardo Patrese
Roberto Moreno
Jean Alesi
Pierluigi Martini
Nicola Larini
Philippe Alliot
Stefano Modena
Olivier Grouillard
Emanuele Pirro
Ayrton Senna
Gabriele Tarquini
Johnny Herbert
Satoru Nakajima
Ivan Capelli
Derek Warwick
Mauricio Gugelmin
Andrea de Cesaris
Eric Bernard
Gianni Morbidelli
David Brabham
Aguri Suzuki
