Alain Prost
Gerhard Berger
Ayrton Senna
Nigel Mansell
Thierry Boutsen
Nelson Piquet
Jean Alesi
Satoru Nakajima
Pierluigi Martini
Alessandro Nannini
Nicola Larini
Philippe Alliot
Riccardo Patrese
Gianni Morbidelli
Alex Caffi
Martin Donnelly
Stefano Modena
Paolo Barilla
Yannick Dalmas
Derek Warwick
Aguri Suzuki
Michele Alboreto
Gregor Foitek
Eric Bernard
Olivier Grouillard
