Michael Schumacher
Damon Hill
Martin Brundle
Heinz-Harald Frentzen
Mark Blundell
Rubens Barrichello
Johnny Herbert
Mika Salo
Olivier Panis
Pedro Lamy
Jean-Christophe Boullion
Taki Inoue
Pedro Diniz
Roberto Moreno
Ukyo Katayama
Giovanni Lavaggi
Luca Badoer
Gerhard Berger
Eddie Irvine
Massimiliano Papis
Andrea Montermini
David Coulthard
Jean Alesi
Mika Hakkinen
