Alain Prost
Nigel Mansell
Riccardo Patrese
Jean Alesi
Stefan Johansson
Olivier Grouillard
Eddie Cheever
Nelson Piquet
Emanuele Pirro
Jonathan Palmer
Eric Bernard
Martin Donnelly
Bertrand Gachot
Mauricio Gugelmin
Stefano Modena
Thierry Boutsen
Satoru Nakajima
Ivan Capelli
Alessandro Nannini
Pierluigi Martini
Philippe Alliot
Gabriele Tarquini
Gerhard Berger
Alex Caffi
Rene Arnoux
