Nigel Mansell
Ayrton Senna
Thierry Boutsen
Alain Prost
Eddie Cheever
Nelson Piquet
Alex Caffi
Emanuele Pirro
Jean Alesi
Derek Warwick
Stefano Modena
Martin Brundle
Jonathan Palmer
Luis Perez-Sala
Gerhard Berger
Riccardo Patrese
Stefan Johansson
Alessandro Nannini
Bertrand Gachot
Satoru Nakajima
Mauricio Gugelmin
Ivan Capelli
Michele Alboreto
Piercarlo Ghinzani
Pierluigi Martini
