Alain Prost
Ayrton Senna
Riccardo Patrese
Nigel Mansell
Thierry Boutsen
Alessandro Nannini
Gerhard Berger
Nelson Piquet
Jean Alesi
Derek Warwick
Stefan Johansson
Michele Alboreto
Eddie Cheever
Johnny Herbert
Pierluigi Martini
Andrea de Cesaris
Mauricio Gugelmin
Stefano Modena
Alex Caffi
Martin Brundle
Christian Danner
Satoru Nakajima
Rene Arnoux
Emanuele Pirro
Jonathan Palmer
Gabriele Tarquini
Philippe Alliot
Olivier Grouillard
Luis Perez-Sala
