Ayrton Senna
Alain Prost
Nigel Mansell
Thierry Boutsen
Alessandro Nannini
Derek Warwick
Mauricio Gugelmin
Stefan Johansson
Pierluigi Martini
Emanuele Pirro
Andrea de Cesaris
Ivan Capelli
Olivier Grouillard
Jonathan Palmer
Luis Perez-Sala
Philippe Alliot
Eddie Cheever
Bertrand Gachot
Riccardo Patrese
Michele Alboreto
Alex Caffi
Martin Brundle
Gerhard Berger
Stefano Modena
Rene Arnoux
Johnny Herbert
