Alain Prost
Riccardo Patrese
Eddie Cheever
Christian Danner
Johnny Herbert
Thierry Boutsen
Gabriele Tarquini
Andrea de Cesaris
Jonathan Palmer
Gerhard Berger
Alex Caffi
Nelson Piquet
Stefan Johansson
Luis Perez-Sala
Ayrton Senna
Martin Brundle
Stefano Modena
Nigel Mansell
Pierluigi Martini
Satoru Nakajima
Ivan Capelli
Mauricio Gugelmin
Michele Alboreto
Alessandro Nannini
Derek Warwick
Philippe Alliot
